,train_macro_f1-score,train_macro_f1-score,train_macro_recall,train_macro_recall,train_micro_accuracy,train_micro_accuracy,train_macro_precision,train_macro_precision,train_weighted_precision,train_weighted_precision,train_weighted_recall,train_weighted_recall,train_weighted_f1-score,train_weighted_f1-score,train_balanced_accuracy,train_balanced_accuracy,train_macro_ovr_roc_auc_score,train_macro_ovr_roc_auc_score,test_macro_f1-score,test_macro_f1-score,test_macro_recall,test_macro_recall,test_micro_accuracy,test_micro_accuracy,test_macro_precision,test_macro_precision,test_weighted_precision,test_weighted_precision,test_weighted_recall,test_weighted_recall,test_weighted_f1-score,test_weighted_f1-score,test_balanced_accuracy,test_balanced_accuracy,test_macro_ovr_roc_auc_score,test_macro_ovr_roc_auc_score
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
knn5_7_oversampled_t70_trainnoise-1_testnoise-1_thresh-2,0.934054972,0.0,0.938034188,0.0,0.938034188,0.0,0.953931485,0.0,0.953931485,0.0,0.938034188,0.0,0.934054972,0.0,0.938034188,0.0,-1.0,0.0,0.828418803,0.0,0.862179487,0.0,0.862857143,0.0,0.916666667,0.0,0.914285714,0.0,0.862857143,0.0,0.829333333,0.0,0.862179487,0.0,-1.0,0.0
knn8_7_oversampled_t70_trainnoise-1_testnoise-1_thresh-2,0.767411318,0.0,0.713675214,0.0,0.713675214,0.0,0.9540771360000001,0.0,0.9540771360000001,0.0,0.713675214,0.0,0.767411318,0.0,0.713675214,0.0,-1.0,0.0,0.608137464,0.0,0.637820513,0.0,0.622857143,0.0,0.925163399,0.0,0.926005602,0.0,0.622857143,0.0,0.600650794,0.0,0.637820513,0.0,-1.0,0.0
lr3_oversampled_t70_trainnoise-1_testnoise-1_thresh-2,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.741452991,0.0,0.791666667,0.0,0.782857143,0.0,0.866987179,0.0,0.871904762,0.0,0.782857143,0.0,0.740571429,0.0,0.791666667,0.0,-1.0,0.0
lr5_oversampled_t70_trainnoise-1_testnoise-1_thresh-2,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.917521368,0.0,0.929487179,0.0,0.931428571,0.0,0.946581197,0.0,0.95047619,0.0,0.931428571,0.0,0.92152381,0.0,0.929487179,0.0,-1.0,0.0
lr8_oversampled_t70_trainnoise-1_testnoise-1_thresh-2,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.880769231,0.0,0.903846154,0.0,0.9085714289999999,0.0,0.942307692,0.0,0.942857143,0.0,0.9085714289999999,0.0,0.8864761900000001,0.0,0.903846154,0.0,-1.0,0.0
nb10_oversampled_t70_trainnoise-1_testnoise-1_thresh-2,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,-1.0,,0.836965812,,0.875,,0.874285714,,0.935897436,,0.937142857,,0.874285714,,0.837904762,,0.875,,-1.0,
nb3_oversampled_t70_trainnoise-1_testnoise-1_thresh-2,0.987043726,0.0,0.987179487,0.0,0.987179487,0.0,0.989239927,0.0,0.989239927,0.0,0.987179487,0.0,0.987043726,0.0,0.987179487,0.0,-1.0,0.0,0.766239316,0.0,0.817307692,0.0,0.811428571,0.0,0.894764957,0.0,0.898571429,0.0,0.811428571,0.0,0.767619048,0.0,0.817307692,0.0,-1.0,0.0
nb5_oversampled_t70_trainnoise-1_testnoise-1_thresh-2,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.90042735,0.0,0.919871795,0.0,0.92,0.0,0.950854701,0.0,0.954285714,0.0,0.92,0.0,0.90247619,0.0,0.919871795,0.0,-1.0,0.0
nb8_oversampled_t70_trainnoise-1_testnoise-1_thresh-2,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.8895299150000001,0.0,0.913461538,0.0,0.914285714,0.0,0.9497863250000002,0.0,0.951428571,0.0,0.914285714,0.0,0.891619048,0.0,0.913461538,0.0,-1.0,0.0
rf3_15_oversampled_t70_trainnoise-1_testnoise-1_thresh-2,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.51541514,0.0,0.58974359,0.0,0.588571429,0.0,0.732799145,0.0,0.720285714,0.0,0.588571429,0.0,0.51662585,0.0,0.58974359,0.0,-1.0,0.0
