val_macro_f1-score,val_macro_recall,val_micro_accuracy,val_macro_precision,val_weighted_precision,val_weighted_recall,val_weighted_f1-score,val_balanced_accuracy,test_macro_f1-score,test_macro_recall,test_micro_accuracy,test_macro_precision,test_weighted_precision,test_weighted_recall,test_weighted_f1-score,test_balanced_accuracy,test_macro_ovr_roc_auc_score,test_time,learning_rate,loss_function,batch_size,optimizer,betas,amsgrad,weight_decay,epochs_taken,train_insertions,train_deletions,train_mutation_rate,model_name,oversample,confidence_threshold,seq_count_threshold,seq_len,test_insertions,test_deletions,test_mutation_rate,tag_and_primer,reverse_complements,k_folds,k_iters,encoding_mode,test_split,load_existing_train_test,layer1_input_channels,layer1_output_channels,layer1_conv_kernel,layer1_stride,layer1_padding,layer1_dropout,layer1_pool_kernel,datetime,trials,layer2_input_channels,layer2_output_channels,layer2_conv_kernel,layer2_stride,layer2_padding,layer2_dropout,layer2_pool_kernel
1.0,1.0,0.9797189668904313,1.0,1.0,1.0,1.0,1.0,0.926068376068376,0.939102564102564,0.9371428571428572,0.9626068376068376,0.9619047619047618,0.9371428571428572,0.9253333333333332,0.939102564102564,0.9986175209416188,0.0191400051116943,0.006,CrossEntropyLoss,48,Adam,"(0.9, 0.999)",False,0.0,12,"[0, 2]","[0, 2]",0.05,VariableCNN,False,,2,71,"[1, 1]","[1, 1]",0.02,False,False,5,5,probability,0.3,True,4,256,6,1,1,0.1,2,20240110_181502,1.0,,,,,,,
1.0,1.0,0.9797189668904313,1.0,1.0,1.0,1.0,1.0,0.8944444444444445,0.9166666666666666,0.92,0.9551282051282052,0.9542857142857144,0.92,0.8994285714285715,0.9166666666666666,0.9990785602455924,0.0211336612701416,0.003,CrossEntropyLoss,32,Adam,"(0.9, 0.999)",False,0.0,18,"[0, 2]","[0, 2]",0.05,VariableCNN,False,,2,71,"[1, 1]","[1, 1]",0.02,False,False,5,5,probability,0.3,True,4,196,7,1,1,0.0,2,20240111_071258,1.0,196.0,128.0,7.0,2.0,2.0,0.5,3.0
1.0,1.0,0.9797189668904313,1.0,1.0,1.0,1.0,1.0,0.9121794871794872,0.9262820512820512,0.9314285714285714,0.9497863247863249,0.9504761904761904,0.9314285714285714,0.9177142857142858,0.9262820512820512,0.9983785897180356,0.0184693336486816,0.005,CrossEntropyLoss,48,Adam,"(0.9, 0.999)",False,0.0,15,"[0, 2]","[0, 2]",0.05,VariableCNN,True,,2,71,"[1, 1]","[1, 1]",0.02,False,False,5,5,probability,0.3,True,4,256,6,1,1,0.2,3,20240111_232920,1.0,,,,,,,
0.9833333333333332,0.9916666666666668,0.9797189668904313,0.9916666666666668,1.0,0.9925925925925926,0.9925925925925926,0.9913043478260868,0.8948717948717948,0.9134615384615384,0.92,0.9508547008547008,0.9495238095238094,0.92,0.9001904761904763,0.9134615384615384,0.9983602759165844,0.0214524269104003,0.005,CrossEntropyLoss,32,Adam,"(0.9, 0.999)",False,0.0,15,"[0, 2]","[0, 2]",0.05,VariableCNN,True,,2,71,"[1, 1]","[1, 1]",0.02,False,False,5,5,probability,0.3,True,4,196,9,1,2,0.0,3,20240112_074340,1.0,196.0,196.0,5.0,2.0,1.0,0.1,2.0
0.954830917874396,0.9788043478260868,0.9797189668904313,0.9746376811594204,1.0,0.9777777777777776,0.9802469135802468,0.9778656126482216,0.9079059829059828,0.9262820512820512,0.9257142857142856,0.9594017094017092,0.9590476190476188,0.9257142857142856,0.9100952380952382,0.9262820512820512,0.9982314404528876,0.0196068286895751,0.007,CrossEntropyLoss,32,Adam,"(0.9, 0.999)",False,0.0,14,"[0, 2]","[0, 2]",0.05,VariableCNN,False,,2,71,"[1, 1]","[1, 1]",0.02,False,False,5,5,probability,0.3,True,4,196,7,2,1,0.1,3,20240112_192910,1.0,,,,,,,
1.0,1.0,0.9797132779610876,1.0,1.0,1.0,1.0,1.0,0.8728632478632478,0.8974358974358975,0.8971428571428571,0.9401709401709402,0.938095238095238,0.8971428571428571,0.8761904761904761,0.8974358974358975,0.9952618362524682,0.0206732749938964,0.005,CrossEntropyLoss,48,Adam,"(0.9, 0.999)",False,0.0,15,"[0, 2]","[0, 2]",0.05,VariableCNN,True,,2,71,"[1, 1]","[1, 1]",0.02,False,False,5,5,probability,0.3,True,4,256,5,2,2,0.2,0,20240110_195927,2.0,256.0,512.0,8.0,2.0,0.0,0.3,3.0
1.0,1.0,0.9797132779610876,1.0,1.0,1.0,1.0,1.0,0.9183760683760684,0.9326923076923076,0.9371428571428572,0.9572649572649572,0.958095238095238,0.9371428571428572,0.923047619047619,0.9326923076923076,0.9986366865477888,0.018359899520874,0.008,CrossEntropyLoss,64,Adam,"(0.9, 0.999)",False,0.0,14,"[0, 2]","[0, 2]",0.05,VariableCNN,True,,2,71,"[1, 1]","[1, 1]",0.02,False,False,5,5,probability,0.3,True,4,512,6,1,1,0.3,3,20240110_235713,1.0,,,,,,,
1.0,1.0,0.9797132779610876,1.0,1.0,1.0,1.0,1.0,0.905982905982906,0.9230769230769232,0.92,0.9503205128205128,0.9514285714285714,0.92,0.9047619047619048,0.9230769230769232,0.9946012616931494,0.0198926925659179,0.003,CrossEntropyLoss,32,Adam,"(0.9, 0.999)",False,0.0,14,"[0, 2]","[0, 2]",0.05,VariableCNN,True,,2,71,"[1, 1]","[1, 1]",0.02,False,False,5,5,probability,0.3,True,4,196,9,1,2,0.1,3,20240111_004507,,,,,,,,
1.0,1.0,0.9797132779610876,1.0,1.0,1.0,1.0,1.0,0.9337606837606836,0.9455128205128204,0.9428571428571428,0.97008547008547,0.9704761904761904,0.9428571428571428,0.9342857142857144,0.9455128205128204,0.997531256974151,0.0250439643859863,0.002,CrossEntropyLoss,16,Adam,"(0.9, 0.999)",False,0.0,13,"[0, 2]","[0, 2]",0.05,VariableCNN,True,,2,71,"[1, 1]","[1, 1]",0.02,False,False,5,5,probability,0.3,True,4,64,6,1,2,0.0,2,20240111_134159,1.0,64.0,612.0,5.0,1.0,0.0,0.5,3.0
1.0,1.0,0.9797132779610876,1.0,1.0,1.0,1.0,1.0,0.9252136752136751,0.939102564102564,0.9371428571428572,0.969551282051282,0.9685714285714284,0.9371428571428572,0.923809523809524,0.939102564102564,0.9968474707362488,0.0221490859985351,0.005,CrossEntropyLoss,16,Adam,"(0.9, 0.999)",False,0.0,16,"[0, 2]","[0, 2]",0.05,VariableCNN,True,,2,71,"[1, 1]","[1, 1]",0.02,False,False,5,5,probability,0.3,True,4,612,7,1,2,0.1,2,20240111_185321,1.0,,,,,,,
