val_macro_f1-score,val_macro_recall,val_micro_accuracy,val_macro_precision,val_weighted_precision,val_weighted_recall,val_weighted_f1-score,val_balanced_accuracy,test_macro_f1-score,test_macro_recall,test_micro_accuracy,test_macro_precision,test_weighted_precision,test_weighted_recall,test_weighted_f1-score,test_balanced_accuracy,epochs_taken,test_time,val_cross_ent,val_cluster,val_separation,val_avg_separation,val_p_avg_pair_dist,num_ptypes_per_class,rank,ptype_length,prototype_shape,ptype_activation_fn,latent_weight,joint_features_lr,joint_ptypes_lr,warm_ptypes_lr,last_layer_lr,joint_weight_decay,joint_lr_step_size,warm_lr_step_size,cross_entropy_weight,cluster_weight,separation_weight,l1_weight,num_warm_epochs,push_gap,push_start,num_pushes,last_layer_epochs,seq_count_thresh,trainRandomInsertions,trainRandomDeletions,trainMutationRate,oversample,encoding_mode,push_encoding_mode,applying_on_raw_data,augment_test_data,load_existing_train_test,train_batch_size,test_batch_size,num_classes,seq_target_length,addTagAndPrimer,addRevComplements,val_portion_of_train,datetime
0.067289447,0.131868132,0.085106383,0.934765235,0.979400387,0.085106383,0.065141911,0.091954023,0.035353535,0.083333333,0.053191489,0.923687424,0.95845998,0.053191489,0.037395229,0.046666667,71,0.023816109,4.910687685,0.710825294,0.505009621,0.22541821,6163.348633,2,2,27,"(312, 520, 27)",unused,0.9,-1,-1,0.07,0.05,0,-1,60,1,-9.6,2.4,0.001,1000000,15,70,0,50,2,"[0, 2]","[0, 2]",0.05,TRUE,probability,probability,FALSE,TRUE,TRUE,156,94,156,70,FALSE,FALSE,0.2,20240314_181331
0.06394446,0.101123596,0.085106383,0.960812873,0.98417389,0.085106383,0.071181456,0.08045977,0.082251082,0.11038961,0.106382979,0.967532468,0.989361702,0.106382979,0.102836879,0.086666667,71,0.024354219,4.840271711,0.782997489,0.633229941,0.282935202,2504.025635,3,2,9,"(468, 520, 9)",unused,0.9,-1,-1,0.07,0.05,0,-1,60,1,-9.6,2.4,0.001,1000000,15,70,0,50,2,"[0, 2]","[0, 2]",0.05,TRUE,probability,probability,FALSE,TRUE,TRUE,156,94,156,70,FALSE,FALSE,0.2,20240314_202945
0.055111555,0.120879121,0.074468085,0.927838828,0.972695035,0.074468085,0.053352676,0.08045977,0.03805886,0.084415584,0.085106383,0.936984754,0.960437866,0.085106383,0.062047798,0.06,71,0.023275614,4.911822796,0.691495568,0.501940027,0.222249366,6535.325684,2,2,29,"(312, 520, 29)",unused,0.9,-1,-1,0.07,0.05,0,-1,60,1,-9.6,2.4,0.001,1000000,15,70,0,50,2,"[0, 2]","[0, 2]",0.05,TRUE,probability,probability,FALSE,TRUE,TRUE,156,94,156,70,FALSE,FALSE,0.2,20240314_200503
0.045035461,0.138297872,0.074468085,0.878546099,0.953014184,0.074468085,0.055673759,0.068965517,0.043495935,0.140243902,0.053191489,0.87296748,0.963652482,0.053191489,0.045035461,0.06,71,0.025062084,4.922631025,0.732529968,0.535427958,0.222318761,170978.9844,2,2,19,"(312, 520, 19)",unused,0.9,-1,-1,0.7,0.05,0,-1,60,1,-9.6,2.4,0.001,1000000,15,70,0,50,2,"[0, 2]","[0, 2]",0.05,TRUE,probability,probability,FALSE,TRUE,TRUE,156,94,156,70,FALSE,FALSE,0.2,20240314_192106
0.039272338,0.08988764,0.074468085,0.943445693,0.960638298,0.074468085,0.042502533,0.068965517,0.005837059,0.064935065,0.031914894,0.938443441,0.970852606,0.031914894,0.004781421,0.04,71,0.026318312,4.923043728,0.748144925,0.546200126,0.232663468,159256.7656,2,2,17,"(312, 520, 17)",unused,0.9,-1,-1,0.7,0.05,0,-1,60,1,-9.6,2.4,0.001,1000000,15,70,0,50,2,"[0, 2]","[0, 2]",0.05,TRUE,probability,probability,FALSE,TRUE,TRUE,156,94,156,70,FALSE,FALSE,0.2,20240314_174518
0.036685852,0.073863636,0.063829787,0.958212292,0.97151789,0.063829787,0.0414364,0.063218391,0.039888683,0.084415584,0.063829787,0.942424242,0.962411348,0.063829787,0.044072948,0.06,71,0.023236752,4.92122674,0.796965927,0.5924052,0.297727436,2544.101318,2,2,11,"(312, 520, 11)",unused,0.9,-1,-1,0.07,0.05,0,-1,60,1,-9.6,2.4,0.001,1000000,15,70,0,50,2,"[0, 2]","[0, 2]",0.05,TRUE,probability,probability,FALSE,TRUE,TRUE,156,94,156,70,FALSE,FALSE,0.2,20240314_185724
0.040675763,0.1,0.063829787,0.937971781,0.972526174,0.063829787,0.03894488,0.068965517,0.023229167,0.1,0.042553191,0.88625,0.94929078,0.042553191,0.031117021,0.04,71,0.024097919,4.922445536,0.740925789,0.539412826,0.259378597,3977.157471,2,2,17,"(312, 520, 17)",unused,0.9,-1,-1,0.07,0.05,0,-1,60,1,-9.6,2.4,0.001,1000000,15,70,0,50,2,"[0, 2]","[0, 2]",0.05,TRUE,probability,probability,FALSE,TRUE,TRUE,156,94,156,70,FALSE,FALSE,0.2,20240314_174724
0.040120184,0.10326087,0.053191489,0.934916801,0.989493039,0.053191489,0.046358761,0.051724138,0.045077556,0.096153846,0.074468085,0.944769014,0.972169854,0.074468085,0.053532966,0.06,71,0.023829937,4.906569719,0.715765417,0.50479883,0.227926508,5725.753906,2,2,25,"(312, 520, 25)",unused,0.9,-1,-1,0.07,0.05,0,-1,60,1,-9.6,2.4,0.001,1000000,15,70,0,50,2,"[0, 2]","[0, 2]",0.05,TRUE,probability,probability,FALSE,TRUE,TRUE,156,94,156,70,FALSE,FALSE,0.2,20240314_194928
0.009023531,0.056179775,0.042553191,0.949421739,0.965789884,0.042553191,0.013271688,0.034482759,0.017089217,0.052631579,0.042553191,0.962734962,0.970136778,0.042553191,0.014335755,0.04,71,0.022483826,4.918194056,0.788436681,0.684108764,0.339936629,1604.727661,2,2,7,"(312, 520, 7)",unused,0.9,-1,-1,0.07,0.05,0,-1,60,1,-9.6,2.4,0.001,1000000,15,70,0,50,2,"[0, 2]","[0, 2]",0.05,TRUE,probability,probability,FALSE,TRUE,TRUE,156,94,156,70,FALSE,FALSE,0.2,20240314_184555
0.018599486,0.087912088,0.042553191,0.927632926,0.972495705,0.042553191,0.018005885,0.045977011,0.007735584,0.075949367,0.021276596,0.929014644,0.982895286,0.021276596,0.006501182,0.026666667,71,0.02484417,4.932121038,0.791382611,0.603409737,0.26830782,101001.5313,2,2,11,"(312, 520, 11)",unused,0.9,-1,-1,0.7,0.05,0,-1,60,1,-9.6,2.4,0.001,1000000,15,70,0,50,2,"[0, 2]","[0, 2]",0.05,TRUE,probability,probability,FALSE,TRUE,TRUE,156,94,156,70,FALSE,FALSE,0.2,20240314_185600
